source,target
2563367947,6529218955
7343042580,6529218955
7290404537,6529218955
7249230086,6529218955
6892834054,6529218955
6582087265,6529218955
6242181166,6529218955
5750111375,6529218955
6531540402,6529218955
7328944311,6529218955
5647440925,6529218955
6768593071,6529218955
6986187403,6529218955
2599705043,6529218955
5573397816,6529218955
6509278477,6529218955
5309058486,6529218955
3563301530,6529218955
3952817986,6529218955
6612579736,6529218955
2315422803,6529218955
6869506871,6529218955
7040888857,6529218955
7041586073,6529218955
6965244270,6529218955
3815456758,6529218955
6693332597,6529218955
6899429714,6529218955
6937986751,6529218955
6889211680,6529218955
6064227148,6529218955
1712749894,6529218955
6384440096,6529218955
6895614215,6529218955
5450915701,6529218955
6661956199,6529218955
5212554470,6529218955
3820990965,6529218955
3837167350,6529218955
5722553988,6529218955
6347062382,6529218955
6474953275,6529218955
5136856862,6529218955
2563367947,6067621522
2563367947,2261168894
2563367947,2526386883
6067621522,2563367947
7343042580,6022478547
7290404537,3012886555
7290404537,7397663476
7290404537,7397663657
7290404537,7400401727
7290404537,7400085589
7290404537,7397354070
7290404537,7397354080
7290404537,7397354151
7290404537,7397354173
7290404537,7397354181
7290404537,7397354193
7290404537,7397663527
7290404537,7397663612
7290404537,7397663613
7290404537,7397663596
7290404537,7400456683
7290404537,7400675187
7290404537,7399890062
7290404537,7314034593
7290404537,6161695069
3012886555,7290404537
7397663657,7290404537
7397354193,7290404537
7397354181,7290404537
7397354173,7290404537
7397663612,7290404537
7397663527,7290404537
7397354151,7290404537
7397663476,7290404537
7400456683,7290404537
7400085589,7290404537
7400401727,7290404537
7397354080,7290404537
7397354070,7290404537
7397663613,7290404537
7397663596,7290404537
7400675187,7290404537
7399890062,7290404537
6161695069,7290404537
7314034593,7290404537
7249230086,7229718434
7249230086,7394317681
7249230086,6067995561
7249230086,6878306814
7249230086,7309797688
7229718434,7249230086
6036809163,7249230086
7394317681,7249230086
2304725804,7249230086
6190161265,7249230086
5939828130,7249230086
6878306814,7249230086
3847621502,7249230086
7309797688,7249230086
5591317717,7249230086
6692807697,7249230086
2824665090,7249230086
6633133279,7249230086
6806278620,7249230086
6026229965,7249230086
7264873390,7249230086
6964114120,7249230086
6798472831,7249230086
5315220766,7249230086
6751955912,7249230086
6892834054,5917299641
6892834054,7116350840
6892834054,7293860525
6892834054,6540699931
6892834054,7103154800
6892834054,6034285888
6892834054,5410338761
6892834054,6809973681
6892834054,6816290105
6892834054,6878732385
6892834054,6590324248
6892834054,6445945936
5410338761,6892834054
5917299641,6892834054
6895752083,6892834054
5619143897,6892834054
5694696312,6892834054
1939438287,6892834054
1729384931,6892834054
6816290105,6892834054
6878732385,6892834054
6590324248,6892834054
2260115822,6892834054
6445945936,6892834054
6028205615,6892834054
2624760915,6892834054
6522674359,6892834054
5407002847,6892834054
6544908388,6892834054
5850300383,6892834054
5708646983,6892834054
7018882733,6892834054
6582087265,5233058997
6582087265,6607824425
6582087265,6571430934
6582087265,6962525136
6582087265,7229802938
6582087265,7023407520
6582087265,7311446690
6582087265,6592857478
6582087265,6972295588
6582087265,6389182279
6582087265,6575620450
6582087265,5777418219
6582087265,6546309833
6582087265,7293972957
6582087265,6673081375
6582087265,6180226232
6582087265,6977954261
6582087265,6663307781
6582087265,5844603358
6582087265,6186424527
6582087265,5694072239
6582087265,5994640926
6582087265,6501137457
6582087265,6572109730
6582087265,7261040296
6582087265,6800456314
6582087265,6530343745
6582087265,7304134345
6582087265,6049825461
6582087265,6576004766
6582087265,7196291771
6582087265,6211955783
6582087265,6499054935
6582087265,6935389475
6582087265,6246043696
6582087265,7020310957
6582087265,6982259166
6582087265,6538318633
6582087265,6096280483
6582087265,6614850306
6582087265,6619225658
6582087265,7425586640
6582087265,7413180111
6582087265,6619913385
6582087265,6549263945
6582087265,6776341214
6582087265,6582199750
6582087265,6637517151
