source,target
1420702335,6099859539
6786857775,6099859539
3738195311,6099859539
6803241593,6099859539
6624781865,6099859539
6753125201,6099859539
1420702335,6562735613
1420702335,6824461809
6320762378,3738195311
5693470962,3738195311
5984312045,3738195311
6676921003,6803241593
1240326047,6803241593
6867029095,6803241593
1080625273,6803241593
6793471394,6803241593
6859574970,6803241593
5282157466,6803241593
7202197631,6803241593
7039666047,6803241593
7076047681,6803241593
6868248980,6803241593
6868248050,6803241593
6649663874,6803241593
6850792063,6803241593
6852360250,6803241593
6651836137,6803241593
6638431915,6803241593
6578494123,6803241593
6652208282,6803241593
3222035290,6753125201
7040114184,6753125201
6640795319,6753125201
6640828060,6753125201
6785941034,6753125201
6607022677,6753125201
6628864589,6753125201
6632447163,6753125201
3173919185,3173919185
6357151011,6221438006
6615187803,6221438006
6385538222,6221438006
1974277781,6221438006
6605068102,6221438006
6606033711,6221438006
6366220328,6221438006
6608235071,6221438006
6601989405,6221438006
6385590582,6221438006
5286794991,6221438006
6611022249,6221438006
6023624647,6221438006
6610249619,6221438006
6379911068,6221438006
6385894410,6221438006
6385878999,6221438006
6359550371,6221438006
6383339438,6221438006
6862727394,6221438006
7010554343,5996062670
7040109673,5996062670
3982138436,5996062670
7075411714,5996062670
6380065127,5996062670
6202864626,5996062670
6366398541,5996062670
7010363393,5996062670
5752342758,5996062670
6024032684,5996062670
6921985914,5996062670
5999396173,5996062670
6005140573,5996062670
5746229681,5996062670
6035615129,5996062670
5975264085,5996062670
6032318656,5996062670
6300421475,5996062670
5943407581,5996062670
5996140974,5996062670
7202717207,6301374980
6317403056,6301374980
6923220441,6301374980
7009230925,6301374980
6283629892,6301374980
6301175790,6301374980
6295123712,6301374980
6847905394,6301374980
6903360382,6301374980
6863747644,6301374980
6295125337,6301374980
6852385699,6301374980
6864618874,6301374980
6323812702,6301374980
6361732656,6301374980
6295095886,6301374980
6300422616,6301374980
6609147551,6301374980
6712341446,6301374980
1420702335,6301374980
3173919185,6301374980
6221438006,6301374980
5996062670,6301374980
6301374980,6301374980
6562735613,6301374980
6824461809,6301374980
2070566713,6301374980
6029739475,6301374980
5991188079,6301374980
6303224425,6301374980
6301787458,6301374980
6295114592,6301374980
5995633732,6301374980
6006434917,6301374980
6065135486,6301374980
6202703407,6301374980
2896311767,6301374980
3992339353,6301374980
2869965623,6301374980
1932999717,6301374980
1844214582,6562735613
5894788564,6562735613
7306840013,6562735613
7038031831,6562735613
6989497685,6562735613
3119885147,6562735613
3815969784,6562735613
7214514621,6824461809
6497039686,6824461809
6923333403,6824461809
6525503633,6824461809
6456770276,6824461809
6529115163,6824461809
7009947469,6824461809
6065617489,6824461809
7041444769,6824461809
6864168014,6824461809
6891072906,6824461809
1442671777,6824461809
6884437530,6824461809
6883411998,6824461809
6870526276,6824461809
6874836719,6824461809
6862025722,6824461809
6409875758,6824461809
6873583403,6824461809
5720572651,6824461809
6024053472,2070566713
5777377687,2070566713
5996008087,2070566713
5178576387,2070566713
2701509665,2070566713
6029537612,2070566713
1769248384,2070566713
6025767246,2070566713
5999371624,2070566713
3164091367,2070566713
3234205191,2070566713
3108594815,2070566713
3085119411,2070566713
2882629613,2070566713
2944817015,2070566713
